Gender,Total Count,Sch_Div
Male,67,Fancy Gap Elementary Carroll County Public Schools
Female,57,Gladesboro Elementary Carroll County Public Schools
Male,45,Gladesboro Elementary Carroll County Public Schools
Female,109,Gladeville Elementary Carroll County Public Schools
Male,140,Gladeville Elementary Carroll County Public Schools
Female,227,Hillsville Elementary Carroll County Public Schools
Male,247,Hillsville Elementary Carroll County Public Schools
Female,117,Laurel Elementary Carroll County Public Schools
Male,101,Laurel Elementary Carroll County Public Schools
Female,94,Oakland Elementary Carroll County Public Schools
Male,103,Oakland Elementary Carroll County Public Schools
Female,155,St. Paul Carroll County Public Schools
Male,163,St. Paul Carroll County Public Schools
Female,143,Charles City County Elementary Charles City County Public Schools
Male,149,Charles City County Elementary Charles City County Public Schools
Female,120,Charles City County High Charles City County Public Schools
Male,116,Charles City County High Charles City County Public Schools
Female,69,Bacon District Elementary Charlotte County Public Schools
Male,91,Bacon District Elementary Charlotte County Public Schools
Female,180,Central Middle Charlotte County Public Schools
Male,199,Central Middle Charlotte County Public Schools
Female,224,Eureka Elementary Charlotte County Public Schools
Male,217,Eureka Elementary Charlotte County Public Schools
Female,105,Phenix Elementary Charlotte County Public Schools
Male,109,Phenix Elementary Charlotte County Public Schools
Female,258,Randolph-Henry High Charlotte County Public Schools
Male,250,Randolph-Henry High Charlotte County Public Schools
Female,289,Buford Middle Charlottesville City Public Schools
Male,304,Buford Middle Charlottesville City Public Schools
Other,6,Buford Middle Charlottesville City Public Schools
Female,163,Burnley-Moran Elementary Charlottesville City Public Schools
Male,158,Burnley-Moran Elementary Charlottesville City Public Schools
Other,1,Burnley-Moran Elementary Charlottesville City Public Schools
Female,601,Charlottesville High Charlottesville City Public Schools
Male,613,Charlottesville High Charlottesville City Public Schools
Other,19,Charlottesville High Charlottesville City Public Schools
Female,143,Clark Elementary Charlottesville City Public Schools
Male,181,Clark Elementary Charlottesville City Public Schools
Female,139,Greenbrier Elementary Charlottesville City Public Schools
Male,142,Greenbrier Elementary Charlottesville City Public Schools
Other,1,Greenbrier Elementary Charlottesville City Public Schools
Female,142,Jackson-Via Elementary Charlottesville City Public Schools
Male,183,Jackson-Via Elementary Charlottesville City Public Schools
Female,143,Johnson Elementary Charlottesville City Public Schools
Male,156,Johnson Elementary Charlottesville City Public Schools
Female,152,Venable Elementary Charlottesville City Public Schools
Male,129,Venable Elementary Charlottesville City Public Schools
Other,2,Venable Elementary Charlottesville City Public Schools
Female,301,Walker Upper Elementary Charlottesville City Public Schools
Male,318,Walker Upper Elementary Charlottesville City Public Schools
Other,4,Walker Upper Elementary Charlottesville City Public Schools
Female,411,B.M. Williams Primary Chesapeake City Public Schools
Male,457,B.M. Williams Primary Chesapeake City Public Schools
Female,314,Butts Road Intermediate Chesapeake City Public Schools
Male,303,Butts Road Intermediate Chesapeake City Public Schools
Female,282,Butts Road Primary Chesapeake City Public Schools
Male,272,Butts Road Primary Chesapeake City Public Schools
Female,234,Camelot Elementary Chesapeake City Public Schools
Male,249,Camelot Elementary Chesapeake City Public Schools
Female,387,Cedar Road Elementary Chesapeake City Public Schools
Male,436,Cedar Road Elementary Chesapeake City Public Schools
Female,360,Crestwood Intermediate Chesapeake City Public Schools
Male,341,Crestwood Intermediate Chesapeake City Public Schools
Female,264,Crestwood Middle Chesapeake City Public Schools
Male,286,Crestwood Middle Chesapeake City Public Schools
Other,1,Crestwood Middle Chesapeake City Public Schools
Female,424,Deep Creek Central Elementary Chesapeake City Public Schools
Male,417,Deep Creek Central Elementary Chesapeake City Public Schools
Other,2,Deep Creek Central Elementary Chesapeake City Public Schools
Female,362,Deep Creek Elementary Chesapeake City Public Schools
Male,408,Deep Creek Elementary Chesapeake City Public Schools
Female,851,Deep Creek High Chesapeake City Public Schools
Male,784,Deep Creek High Chesapeake City Public Schools
Other,3,Deep Creek High Chesapeake City Public Schools
Female,411,Deep Creek Middle Chesapeake City Public Schools
Male,391,Deep Creek Middle Chesapeake City Public Schools
Female,343,Edwin W. Chittum Elementary Chesapeake City Public Schools
Male,416,Edwin W. Chittum Elementary Chesapeake City Public Schools
Female,216,G.A. Treakle Elementary Chesapeake City Public Schools
Male,227,G.A. Treakle Elementary Chesapeake City Public Schools
Female,250,George W. Carver Intermediate Chesapeake City Public Schools
Male,261,George W. Carver Intermediate Chesapeake City Public Schools
Female,354,Georgetown Primary Chesapeake City Public Schools
Male,357,Georgetown Primary Chesapeake City Public Schools
Female,633,Grassfield Elementary Chesapeake City Public Schools
Male,650,Grassfield Elementary Chesapeake City Public Schools
Female,"1,104",Grassfield High Chesapeake City Public Schools
Male,"1,185",Grassfield High Chesapeake City Public Schools
Other,5,Grassfield High Chesapeake City Public Schools
Female,793,Great Bridge High Chesapeake City Public Schools
Male,847,Great Bridge High Chesapeake City Public Schools
Female,326,Great Bridge Intermediate Chesapeake City Public Schools
Male,355,Great Bridge Intermediate Chesapeake City Public Schools
Female,579,Great Bridge Middle Chesapeake City Public Schools
Male,627,Great Bridge Middle Chesapeake City Public Schools
Female,327,Great Bridge Primary Chesapeake City Public Schools
Male,336,Great Bridge Primary Chesapeake City Public Schools
Other,1,Great Bridge Primary Chesapeake City Public Schools
Female,319,Greenbrier Intermediate Chesapeake City Public Schools
Male,303,Greenbrier Intermediate Chesapeake City Public Schools
Female,420,Greenbrier Middle Chesapeake City Public Schools
Male,425,Greenbrier Middle Chesapeake City Public Schools
