Sch_Div,Disadvantaged,Total Count
Carter G. Woodson Middle Hopewell City Public Schools,Y,727
Carver College and Career Academy Chesterfield County Public Schools,N,80
Carver College and Career Academy Chesterfield County Public Schools,Y,130
Carver Elementary Newport News City Public Schools,N,145
Carver Elementary Newport News City Public Schools,Y,448
Carver Middle Chesterfield County Public Schools,N,532
Carver Middle Chesterfield County Public Schools,Y,545
Carysbrook Elementary Fluvanna County Public Schools,N,258
Carysbrook Elementary Fluvanna County Public Schools,Y,191
Cashell Donahoe Elementary Henrico County Public Schools,N,176
Cashell Donahoe Elementary Henrico County Public Schools,Y,373
Cassell Elementary Augusta County Public Schools,N,340
Cassell Elementary Augusta County Public Schools,Y,331
Castlewood Elementary Russell County Public Schools,N,87
Castlewood Elementary Russell County Public Schools,Y,234
Castlewood High Russell County Public Schools,N,115
Castlewood High Russell County Public Schools,Y,205
Catoctin Elementary Loudoun County Public Schools,N,410
Catoctin Elementary Loudoun County Public Schools,Y,170
Cave Spring Elementary Roanoke County Public Schools,N,394
Cave Spring Elementary Roanoke County Public Schools,Y,94
Cave Spring High Roanoke County Public Schools,N,856
Cave Spring High Roanoke County Public Schools,Y,168
Cave Spring Middle Roanoke County Public Schools,N,582
Cave Spring Middle Roanoke County Public Schools,Y,193
Cedar Bluff Elementary Tazewell County Public Schools,N,170
Cedar Bluff Elementary Tazewell County Public Schools,Y,225
Cedar Forest Elementary Spotsylvania County Public Schools,N,394
Cedar Forest Elementary Spotsylvania County Public Schools,Y,366
Cedar Lane Elementary Loudoun County Public Schools,N,576
Cedar Lane Elementary Loudoun County Public Schools,Y,158
Cedar Lee Middle Fauquier County Public Schools,N,367
Cedar Lee Middle Fauquier County Public Schools,Y,267
Cedar Point Elementary Prince William County Public Schools,N,421
Cedar Point Elementary Prince William County Public Schools,Y,85
Cedar Road Elementary Chesapeake City Public Schools,N,680
Cedar Road Elementary Chesapeake City Public Schools,Y,143
Centerville Elementary Virginia Beach City Public Schools,N,430
Centerville Elementary Virginia Beach City Public Schools,Y,192
Central Academy Middle Botetourt County Public Schools,N,238
Central Academy Middle Botetourt County Public Schools,Y,119
Central Elementary Amherst County Public Schools,N,94
Central Elementary Amherst County Public Schools,Y,238
Central Elementary Fluvanna County Public Schools,N,224
Central Elementary Fluvanna County Public Schools,Y,186
Central Elementary Rockbridge County Public Schools,N,239
Central Elementary Rockbridge County Public Schools,Y,192
Central High King and Queen County Public Schools,N,101
Central High King and Queen County Public Schools,Y,167
