Disabled,Total Count,Sch_Div
N,"1,060",Charlottesville High Charlottesville City Public Schools
Y,173,Charlottesville High Charlottesville City Public Schools
N,287,Clark Elementary Charlottesville City Public Schools
Y,37,Clark Elementary Charlottesville City Public Schools
N,252,Greenbrier Elementary Charlottesville City Public Schools
Y,30,Greenbrier Elementary Charlottesville City Public Schools
N,260,Jackson-Via Elementary Charlottesville City Public Schools
Y,65,Jackson-Via Elementary Charlottesville City Public Schools
N,266,Johnson Elementary Charlottesville City Public Schools
Y,33,Johnson Elementary Charlottesville City Public Schools
N,257,Venable Elementary Charlottesville City Public Schools
Y,26,Venable Elementary Charlottesville City Public Schools
N,531,Walker Upper Elementary Charlottesville City Public Schools
Y,92,Walker Upper Elementary Charlottesville City Public Schools
N,713,B.M. Williams Primary Chesapeake City Public Schools
Y,155,B.M. Williams Primary Chesapeake City Public Schools
N,465,Butts Road Intermediate Chesapeake City Public Schools
Y,152,Butts Road Intermediate Chesapeake City Public Schools
N,449,Butts Road Primary Chesapeake City Public Schools
Y,105,Butts Road Primary Chesapeake City Public Schools
N,426,Camelot Elementary Chesapeake City Public Schools
Y,57,Camelot Elementary Chesapeake City Public Schools
N,693,Cedar Road Elementary Chesapeake City Public Schools
Y,130,Cedar Road Elementary Chesapeake City Public Schools
N,588,Crestwood Intermediate Chesapeake City Public Schools
Y,113,Crestwood Intermediate Chesapeake City Public Schools
N,451,Crestwood Middle Chesapeake City Public Schools
Y,100,Crestwood Middle Chesapeake City Public Schools
N,687,Deep Creek Central Elementary Chesapeake City Public Schools
Y,156,Deep Creek Central Elementary Chesapeake City Public Schools
N,624,Deep Creek Elementary Chesapeake City Public Schools
Y,146,Deep Creek Elementary Chesapeake City Public Schools
N,"1,349",Deep Creek High Chesapeake City Public Schools
Y,289,Deep Creek High Chesapeake City Public Schools
N,643,Deep Creek Middle Chesapeake City Public Schools
Y,159,Deep Creek Middle Chesapeake City Public Schools
N,601,Edwin W. Chittum Elementary Chesapeake City Public Schools
Y,158,Edwin W. Chittum Elementary Chesapeake City Public Schools
N,351,G.A. Treakle Elementary Chesapeake City Public Schools
Y,92,G.A. Treakle Elementary Chesapeake City Public Schools
N,416,George W. Carver Intermediate Chesapeake City Public Schools
Y,95,George W. Carver Intermediate Chesapeake City Public Schools
N,596,Georgetown Primary Chesapeake City Public Schools
Y,115,Georgetown Primary Chesapeake City Public Schools
N,"1,075",Grassfield Elementary Chesapeake City Public Schools
Y,208,Grassfield Elementary Chesapeake City Public Schools
N,"2,017",Grassfield High Chesapeake City Public Schools
Y,277,Grassfield High Chesapeake City Public Schools
N,"1,376",Great Bridge High Chesapeake City Public Schools
Y,264,Great Bridge High Chesapeake City Public Schools
N,584,Great Bridge Intermediate Chesapeake City Public Schools
Y,97,Great Bridge Intermediate Chesapeake City Public Schools
N,"1,035",Great Bridge Middle Chesapeake City Public Schools
Y,171,Great Bridge Middle Chesapeake City Public Schools
N,564,Great Bridge Primary Chesapeake City Public Schools
Y,100,Great Bridge Primary Chesapeake City Public Schools
N,519,Greenbrier Intermediate Chesapeake City Public Schools
Y,103,Greenbrier Intermediate Chesapeake City Public Schools
N,649,Greenbrier Middle Chesapeake City Public Schools
Y,197,Greenbrier Middle Chesapeake City Public Schools
N,541,Greenbrier Primary Chesapeake City Public Schools
Y,135,Greenbrier Primary Chesapeake City Public Schools
N,456,Hickory Elementary Chesapeake City Public Schools
Y,107,Hickory Elementary Chesapeake City Public Schools
N,"1,328",Hickory High Chesapeake City Public Schools
Y,286,Hickory High Chesapeake City Public Schools
N,"1,088",Hickory Middle Chesapeake City Public Schools
Y,245,Hickory Middle Chesapeake City Public Schools
N,"1,109",Hugo A. Owens Middle Chesapeake City Public Schools
Y,210,Hugo A. Owens Middle Chesapeake City Public Schools
N,"1,352",Indian River High Chesapeake City Public Schools
Y,343,Indian River High Chesapeake City Public Schools
N,572,Indian River Middle Chesapeake City Public Schools
Y,171,Indian River Middle Chesapeake City Public Schools
N,546,Jolliff Middle Chesapeake City Public Schools
Y,152,Jolliff Middle Chesapeake City Public Schools
